Feature,Importance
BIO12,0.31620010629534745
BIO4,0.24679152533133664
BIO1,0.24359586321020127
BIO19,0.11104299702195486
ORG_CARBON,0.026686369707600834
AWC,0.020898311856706774
PH_WATER,0.017831682711538534
SAND,0.01695314386531365
